learning_rate,batch_size,num_train_epochs,wer,cer,combined_score
0.001,16,1,1.0,1.0,2.0
0.001,16,2,1.0,0.9559535333978703,1.9559535333978704
0.001,32,1,3.3617021276595747,2.690706679574056,6.052408807233631
0.001,32,2,1.0,1.0,2.0
0.01,16,1,1.0,49.61374636979671,50.61374636979671
0.01,16,2,1.0,33.095837366892546,34.095837366892546
0.01,32,1,1.0,33.077928363988384,34.077928363988384
0.01,32,2,1.0,16.540174249757985,17.540174249757985
